match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
Qs0WOKvB,correct,id_match,Sobolieva A.,4AGU3dN1,Karatancheva L.,zqwKJ6Yd,Sobolieva A.,4AGU3dN1,Karatancheva L.,zqwKJ6Yd,,,5,7,,,6,4,6,7,0,0,2:32,0:51,1:28,0:13,"04:05 AM, September 04, 2024",CLAY,
Qu7Nk2zG,correct,id_match,Du Pree B.,p0O7n3eA,Boskovic L.,YDN2k7yT,Du Pree B.,p0O7n3eA,Boskovic L.,YDN2k7yT,,,,,,,6,1,6,1,,,1:19,0:31,0:48,,"06:30 AM, October 15, 2025",HARD,
Qukzwt1K,correct,id_match,Shinikova I.,O48DAOcN,Klimovicova L.,E5pWnRLG,Shinikova I.,O48DAOcN,Klimovicova L.,E5pWnRLG,,,,,,,6,3,1,6,4,6,2:00,0:34,0:38,0:48,"07:55 AM, July 18, 2025",W75 VITORIA,
QwbovBYA,correct,id_match,Radwanska U.,8nwHy6Ml,Andrianjafitrimo T.,CnmXaPUB,Radwanska U.,8nwHy6Ml,Andrianjafitrimo T.,CnmXaPUB,,,,,,,6,0,2,6,2,6,2:11,0:31,0:43,0:57,"10:40 AM, September 11, 2025",HARD,
QyLJmAMr,correct,id_match,Arango E.,rwWwX7oC,Bondar A.,O8s9yjMD,Arango E.,rwWwX7oC,Bondar A.,O8s9yjMD,,,,,,,5,7,4,6,,,2:00,1:06,0:54,,"01:05 PM, November 11, 2021",CLAY,
QyoLma8E,correct,id_match,Bektas E.,bstrYIDU,Cross K.,bNv93cUs,Bektas E.,bstrYIDU,Cross K.,bNv93cUs,,,,,,,3,6,3,6,,,1:04,0:29,0:35,,"03:50 PM, September 27, 2025",HARD,
S0yK8J8T,correct,id_match,Han N.,Qu1IqCud,Hoedt M.,zaFHvp8f,Han N.,Qu1IqCud,Hoedt M.,zaFHvp8f,,,,,,,6,4,6,4,,,1:35,0:43,0:52,,"02:30 AM, March 29, 2022",CLAY,
S4adXtCE,correct,id_match,Cakarevic S.,4U3Rn6Sc,Gorgodze E.,vPEmPARA,Cakarevic S.,4U3Rn6Sc,Gorgodze E.,vPEmPARA,,,,,,,6,4,4,6,5,7,2:11,0:33,0:48,0:50,"09:15 AM, October 30, 2019",HARD,
S623OPtT,correct,id_match,Wang Xin.,8jMJmh84,Zavatska K.,prMtFtya,Wang Xin.,8jMJmh84,Zavatska K.,prMtFtya,,,,,,,6,3,3,1,,,1:10,0:45,0:25,,"10:00 PM, November 18, 2022",HARD,
S8HAKGQF,correct,id_match,Kuzmova K.,zPhg3qEf,Rosatello C.,tQUXZxHO,Kuzmova K.,zPhg3qEf,Rosatello C.,tQUXZxHO,,,,,,,6,4,3,6,3,6,1:53,0:41,0:37,0:35,"04:10 AM, June 11, 2025",CLAY,
SA8TPcHI,correct,id_match,Bektas E.,bstrYIDU,Miyazaki L.,QPwVs83E,Bektas E.,bstrYIDU,Miyazaki L.,QPwVs83E,,,,,,,6,1,6,1,,,1:04,0:31,0:33,,"02:05 PM, October 10, 2021",HARD,
SC3d3Fod,correct,id_match,Quevedo K.,Ovyv04To,Andreeva E.,GWuBzqkB,Quevedo K.,Ovyv04To,Andreeva E.,GWuBzqkB,,,,,,,4,6,2,6,,,1:24,0:45,0:39,,"06:10 AM, October 26, 2025",HARD,
SCNcSLAd,correct,id_match,Hruncakova V.,2ZK8XbpE,Montgomery R.,SfXC2Wt1,Hruncakova V.,2ZK8XbpE,Montgomery R.,SfXC2Wt1,7,1,,,,,7,6,6,1,,,1:26,0:57,0:29,,"05:40 AM, June 07, 2022",CLAY,
SE6Da8bE,correct,id_match,Kaji H.,8Ck3Vpyk,Liu C.,8KHYNHRA,Kaji H.,8Ck3Vpyk,Liu C.,8KHYNHRA,,,,,,,4,6,0,6,,,1:25,0:54,0:31,,"09:35 PM, January 28, 2025",HARD,
SEnwKc3c,correct,id_match,Tikhonova A.,YDVzHVuJ,Miyazaki L.,QPwVs83E,Tikhonova A.,YDVzHVuJ,Miyazaki L.,QPwVs83E,,,,,,,6,1,6,1,,,0:56,0:25,0:31,,"05:05 AM, March 08, 2024",HARD,
